City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Sirsa,IN,86.14,clear sky,29.5333,75.0167,OYO 48542 Hotel Capital
214,Padang,ID,77.83,overcast clouds,-0.9492,100.3543,Mercure Padang
217,Yazman,PK,89.83,clear sky,29.1212,71.7446,Jamal sons showroom
219,San Antonio,US,86.52,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
223,Kieta,PG,78.08,few clouds,-6.2167,155.6333,Uruna Bay Retreat
226,Srandakan,ID,76.05,overcast clouds,-7.9386,110.2506,Puri Brata
233,Ramgarh,IN,82.45,clear sky,23.6333,85.5167,HOTEL TREAT RESIDENCY
234,Botro,CI,80.08,light rain,7.8525,-5.3106,Motel de la Station BOTRO
245,Lungi,SL,86.23,broken clouds,9.2212,-12.6831,Lungi Airport Lodge
246,Luganville,VU,78.82,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
249,Wanlaweyn,SO,81.19,scattered clouds,2.6185,44.8938,GAASHAAN HOME
251,Dwarka,IN,80.64,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
253,Dicabisagan,PH,75.49,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
254,Itarema,BR,81.25,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
259,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
261,Lakatoro,VU,79.59,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
262,Ternate,ID,80.91,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
268,Progreso,MX,84.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
269,Puri,IN,82.92,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
274,Sao Felix Do Xingu,BR,86.27,light rain,-6.6447,-51.995,Rio Xingu Camping
275,Galle,LK,79.45,overcast clouds,6.0367,80.217,Amangalla
277,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
278,Belmonte,BR,81.91,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
279,Cape Coast,GH,82.76,overcast clouds,5.1053,-1.2466,Samrit Hotel
283,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
286,Lethem,GY,84.78,overcast clouds,3.3803,-59.7968,Savannah Inn
295,Matamoros,MX,82.99,few clouds,25.5333,-103.25,Quinta Belem
300,Manokwari,ID,78.12,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
302,Sumenep,ID,78.66,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
307,Pyapon,MM,79.63,broken clouds,16.2833,95.6833,Aung Naing Thu Motel
308,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
309,Beaumont,US,78.84,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
312,Dakoro,NE,87.55,clear sky,14.5106,6.765,Shagon mai liverpool
313,Kavieng,PG,80.04,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
317,Sao Jose Da Coroa Grande,BR,81.57,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
318,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
319,North Platte,US,78.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
331,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
335,Samarai,PG,82.6,few clouds,-10.6167,150.6667,Nuli Sapi
336,Matay,EG,75.74,overcast clouds,28.419,30.7792,Nag Aespen
338,Mackay,AU,77.68,scattered clouds,-21.15,149.2,International Lodge Motel
342,Daloa,CI,80.01,light rain,6.8774,-6.4502,Imans Hotel Daloa
349,Vao,NC,77.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
351,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
353,Faanui,PF,82.8,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
355,Lafia,NG,86.31,light rain,8.4833,8.5167,Low Cost Housing Estate
356,Pizarro,CO,82.24,overcast clouds,4.9533,-77.366,Hotel Limonar
358,Puerto Armuelles,PA,87.78,overcast clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
361,Mazamari,PE,81.34,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
364,Marigot,MF,83.98,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
367,Tahta,EG,78.24,clear sky,26.7693,31.5021,فندق الزيات
369,Cap Malheureux,MU,76.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
372,Mana,GF,80.6,overcast clouds,5.6592,-53.7767,LE SAMANA
373,Bucerias,MX,85.1,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
374,Luanda,AO,78.31,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
